Visit_ID,Species,Sex,Detection,Distance_class,Behavior,Time_left_min,Time_left_sec,Comments,Period
TR621_07_2013-05-07,WHWO,F,V,0_50,FL P,999,999,Saw two females during calling; Missing time remaining,DU
TR621_09_2012-06-12,WHWO,U,A,50_150,C,999,999,,DU
TR621_10_2014-05-20,WHWO,P,V,0_50,F,,,"watched M for about 30 min then F flew to M, both forage tree to tree, F followed M as he flew over rim rocks, could not relocate after 15 min",AF
TR621_10_2014-07-02,WHWO,U,A,ovr_150,C,2,0,could not find bird,DU
TR623_01_2013-06-04,WHWO,U,A,,C,,,"Heard WHWO en route to CP1, very near CP4",TR
TR623_01_2014-05-08,WHWO,U,A,0_50,F,,,2 WHWO,TR
TR623_01_2015-05-14,WHWO,P,V,0_50,C F,2,22,"male calling and foraging, female calling",DU
TR623_01_2016-05-25,WHWO,U,A,50_150,C,2,52,no visual,DU
TR623_03_2012-05-15,WHWO,U,A,ovr_150,C,999,999,,DU
TR623_05_2014-05-08,WHWO,M,V,0_50,F,2,0,"3 WHWO, could not find nest",DU
TR623_05_2014-05-08,WHWO,M,V,0_50,F,2,0,"3 WHWO, could not find nest",DU
TR623_05_2014-05-08,WHWO,F,V,0_50,F,2,0,"3 WHWO, could not find nest",DU
TR623_06_2013-05-08,WHWO,M,V,0_50,D,0,45,,DU
TR623_06_2015-06-10,WHWO,F,V,0_50,P,3,14,Flew in from NE,DU
TR623_07_2012-06-13,WHWO,F,V,0_50,F,1,20,,DU
TR623_08_2012-05-15,WHWO,P,V,0_50,C P,999,999,,DU
